TransactionID,CustomerID,CreditAgreementID,TransactionDate,TransactionAmount,TransactionTypeID
166,11,11,2023-12-29,99625,3
167,11,11,2023-12-29,71534,1
168,11,11,2023-12-29,86232,4
169,11,11,2023-12-29,13486,3
170,11,11,2023-12-30,99534,4
171,11,11,2023-12-30,544896,1
172,12,12,2023-12-08,91006,1
173,12,12,2023-12-14,41583,4
174,12,12,2023-12-14,366284,1
175,12,12,2023-12-30,34867,3
176,12,12,2023-12-30,81026,3
177,12,12,2023-12-30,358947,1
178,12,12,2023-12-30,91386,3
179,12,12,2023-12-30,63030,4
180,12,12,2023-12-30,65697,3
181,12,12,2023-12-30,53279,3
182,12,12,2023-12-30,110742,1
183,12,12,2023-12-30,26242,4
184,12,12,2023-12-30,69065,1
185,12,12,2023-12-30,24482,2
186,13,13,2023-04-21,16059,2
187,13,13,2023-12-02,603939,1
188,13,13,2023-12-28,73751,4
189,13,13,2023-12-29,59722,4
190,13,13,2023-12-30,166581,1
191,13,13,2023-12-30,89914,3
192,13,13,2023-12-30,92286,2
193,13,13,2023-12-30,53160,2
194,13,13,2023-12-30,819667,1
195,14,14,2023-08-14,56076,2
196,14,14,2023-08-20,19851,3
197,14,14,2023-12-21,19074,4
198,14,14,2023-12-21,7739,4
199,15,15,2023-09-12,357893,1
200,15,15,2023-12-16,97678,2
201,15,15,2023-12-23,68571,3
202,15,15,2023-12-25,98839,3
203,15,15,2023-12-30,926068,1
204,15,15,2023-12-30,720708,1
205,15,15,2023-12-30,30760,3
206,15,15,2023-12-30,87367,3
207,15,15,2023-12-30,10825,2
208,15,15,2023-12-30,128643,1
209,15,15,2023-12-30,11356,3
210,15,15,2023-12-30,70701,3
211,15,15,2023-12-30,46555,2
212,15,15,2023-12-30,83287,3
213,15,15,2023-12-30,60735,3
214,15,15,2023-12-30,16745,4
215,15,15,2023-12-30,73746,2
216,15,15,2023-12-30,77086,2
217,15,15,2023-12-30,321490,1
218,15,15,2023-12-30,12952,3
219,15,15,2023-12-30,51732,1
220,15,15,2023-12-30,28094,2
221,15,15,2023-12-30,63019,3
222,15,15,2023-12-30,187997,1
223,15,15,2023-12-30,67387,3
224,15,15,2023-12-30,86213,4
225,15,15,2023-12-30,123453,1
226,15,15,2023-12-30,58913,3
227,15,15,2023-12-30,16370,2
228,15,15,2023-12-30,22566,3
229,15,15,2023-12-30,17073,3
230,15,15,2023-12-30,10629,2
231,15,15,2023-12-30,7307,4
232,16,16,2023-06-22,90400,4
233,16,16,2023-12-09,110422,1
234,16,16,2023-12-27,81074,4
235,16,16,2023-12-30,55095,4
236,16,16,2023-12-30,47421,3
237,16,16,2023-12-30,83830,1
238,16,16,2023-12-30,44411,3
239,16,16,2023-12-30,21304,2
240,16,16,2023-12-30,76288,4
241,16,16,2023-12-30,54185,3
242,16,16,2023-12-30,92586,1
243,16,16,2023-12-30,90069,2
244,16,16,2023-12-30,35803,3
245,16,16,2023-12-30,2760,1
246,16,16,2023-12-30,2760,4
247,17,17,2023-08-02,185503,1
248,17,17,2023-09-15,40026,3
249,17,17,2023-09-27,58920,4
250,17,17,2023-12-19,39646,2
251,17,17,2023-12-28,39013,3
252,17,17,2023-12-28,20686,4
253,17,17,2023-12-30,1720,3
254,18,18,2023-12-10,84631,2
255,18,18,2023-12-30,12365,2
256,18,18,2023-12-30,87310,4
257,18,18,2023-12-30,41024,2
258,18,18,2023-12-30,47677,1
259,18,18,2023-12-30,47677,1
260,18,18,2023-12-30,37488,2
261,18,18,2023-12-30,10189,1
262,18,18,2023-12-30,10094,4
263,18,18,2023-12-30,95,2
264,19,19,2023-05-15,629515,1
265,19,19,2023-11-09,419100,1
266,19,19,2023-12-05,32544,2
267,19,19,2023-12-07,71516,1
268,19,19,2023-12-24,368559,1
269,19,19,2023-12-24,64750,4
270,19,19,2023-12-30,41921,3
271,19,19,2023-12-30,685195,1
272,19,19,2023-12-30,77677,4
273,19,19,2023-12-30,76612,3
274,19,19,2023-12-30,49223,4
275,19,19,2023-12-30,97820,1
276,19,19,2023-12-30,77522,1
277,19,19,2023-12-30,44645,3
278,19,19,2023-12-30,141322,1
279,19,19,2023-12-30,24774,2
280,19,19,2023-12-30,77518,3
281,19,19,2023-12-30,73532,3
282,19,19,2023-12-30,22717,4
283,19,19,2023-12-30,97837,4
284,19,19,2023-12-30,71641,1
285,19,19,2023-12-30,17735,4
286,19,19,2023-12-30,12719,4
287,19,19,2023-12-30,307023,1
288,19,19,2023-12-30,52627,2
289,19,19,2023-12-30,30840,2
290,19,19,2023-12-30,31258,3
291,19,19,2023-12-30,157752,1
292,19,19,2023-12-30,13036,3
293,19,19,2023-12-30,88048,3
294,19,19,2023-12-30,12575,3
295,19,19,2023-12-30,79967,1
296,19,19,2023-12-30,98468,2
297,19,19,2023-12-30,11659,2
298,19,19,2023-12-30,5514,3
299,20,20,2022-05-19,58706,2
300,20,20,2023-01-18,57406,4
301,20,20,2023-08-16,15442,3
302,20,20,2023-11-10,68770,3
303,20,20,2023-12-24,119625,1
304,20,20,2023-12-27,64540,2
305,20,20,2023-12-28,21442,3
306,20,20,2023-12-30,75739,1
307,20,20,2023-12-30,101293,1
308,20,20,2023-12-30,94705,3
309,20,20,2023-12-30,41719,4
310,20,20,2023-12-30,33205,4
311,21,21,2023-04-02,765533,1
312,21,21,2023-04-02,17729,4
313,21,21,2023-07-04,80001,4
314,21,21,2023-11-02,26278,4
315,21,21,2023-12-17,16656,4
316,21,21,2023-12-29,92270,1
317,22,22,2023-10-05,32784,3
318,22,22,2023-11-13,53086,2
319,22,22,2023-12-17,44079,2
320,22,22,2023-12-21,32915,4
321,22,22,2023-12-21,95013,4
322,22,22,2023-12-30,68430,4
323,22,22,2023-12-30,18551,3
324,22,22,2023-12-30,62707,1
325,22,22,2023-12-30,75961,3
326,22,22,2023-12-30,58602,1
327,22,22,2023-12-30,25204,4
328,22,22,2023-12-30,11688,4
329,22,22,2023-12-30,31291,2
330,22,22,2023-12-30,7409,1
331,22,22,2023-12-30,7409,3
332,23,23,2023-12-21,18568,3
333,23,23,2023-12-23,277326,1
334,23,23,2023-12-29,49201,3
335,23,23,2023-12-30,15066,4
336,23,23,2023-12-30,46830,3
337,23,23,2023-12-30,17089,4
338,23,23,2023-12-30,13153,3
339,23,23,2023-12-30,59556,3
340,23,23,2023-12-30,139465,1
341,23,23,2023-12-30,56499,4
342,23,23,2023-12-30,75595,3
343,23,23,2023-12-30,106333,1
344,24,24,2023-02-18,50267,4
345,24,24,2023-02-27,72882,3
346,24,24,2023-03-04,507838,1
347,24,24,2023-12-10,171457,1
348,24,24,2023-12-16,88301,4
349,24,24,2023-12-30,67779,4
350,24,24,2023-12-30,82821,2
351,24,24,2023-12-30,244568,1
352,24,24,2023-12-30,28717,3
353,24,24,2023-12-30,613063,1
354,24,24,2023-12-30,41642,3
355,24,24,2023-12-30,44330,4
356,24,24,2023-12-30,36801,4
357,25,25,2023-03-27,83247,2
358,25,25,2023-09-28,48759,4
359,25,25,2023-10-27,26945,3
360,25,25,2023-12-05,27124,3
361,25,25,2023-12-24,1191538,1
362,25,25,2023-12-25,396704,1
363,25,25,2023-12-28,967320,1
364,25,25,2023-12-29,80610,2
365,25,25,2023-12-29,61747,3
366,25,25,2023-12-29,1201122,1
367,25,25,2023-12-30,592902,1
368,25,25,2023-12-30,18618,2
369,25,25,2023-12-30,38465,4
370,25,25,2023-12-30,97023,4
371,25,25,2023-12-30,45356,3
372,25,25,2023-12-30,24004,2
373,25,25,2023-12-30,903031,1
374,25,25,2023-12-30,19610,3
375,25,25,2023-12-30,72406,3
376,25,25,2023-12-30,16452,4
377,25,25,2023-12-30,56983,4
378,25,25,2023-12-30,11464,4
379,25,25,2023-12-30,26712,2
380,25,25,2023-12-30,46306,2
381,26,26,2022-11-01,613660,1
382,26,26,2023-08-28,79186,2
383,26,26,2023-11-30,264184,1
384,26,26,2023-12-23,27662,4
385,26,26,2023-12-27,42979,2
386,26,26,2023-12-29,1271622,1
387,26,26,2023-12-30,51959,4
388,26,26,2023-12-30,51935,4
389,26,26,2023-12-30,58904,4
390,26,26,2023-12-30,97287,3
391,26,26,2023-12-30,401706,1
392,26,26,2023-12-30,58839,3
393,26,26,2023-12-30,82554,1
394,26,26,2023-12-30,93109,4
395,26,26,2023-12-30,72111,2
396,26,26,2023-12-30,50714,3
397,26,26,2023-12-30,33597,3
398,26,26,2023-12-30,20978,4
399,27,27,2023-08-25,762047,1
400,27,27,2023-11-11,64268,2
401,27,27,2023-11-23,54659,2
402,27,27,2023-12-17,325643,1
403,27,27,2023-12-18,377530,1
404,27,27,2023-12-25,98086,3
405,27,27,2023-12-30,197142,1
406,27,27,2023-12-30,73002,4
407,27,27,2023-12-30,44769,2
408,27,27,2023-12-30,74511,2
409,27,27,2023-12-30,80574,2
410,27,27,2023-12-30,94055,2
411,27,27,2023-12-30,95185,4
412,27,27,2023-12-30,104493,1
413,27,27,2023-12-30,24395,2
414,27,27,2023-12-30,29335,3
415,27,27,2023-12-30,43600,3
416,27,27,2023-12-30,15664,2
417,27,27,2023-12-30,8017,3
418,28,28,2023-02-12,89694,2
419,28,28,2023-05-19,38921,2
420,28,28,2023-08-22,74391,3
421,28,28,2023-12-07,40442,3
422,28,28,2023-12-08,10829,1
423,28,28,2023-12-27,10652,4
424,28,28,2023-12-27,177,2
425,29,29,2022-11-12,17161,3
426,29,29,2023-06-22,741163,1
427,29,29,2023-11-19,57647,3
428,29,29,2023-12-08,229008,1
429,29,29,2023-12-17,73905,2
430,29,29,2023-12-18,44060,2
431,29,29,2023-12-21,237623,1
432,29,29,2023-12-29,564918,1
433,29,29,2023-12-30,60043,3
434,29,29,2023-12-30,39767,4
435,29,29,2023-12-30,291950,1
436,29,29,2023-12-30,326748,1
437,29,29,2023-12-30,55523,3
438,29,29,2023-12-30,58236,4
439,29,29,2023-12-30,85355,1
440,29,29,2023-12-30,32987,3
441,29,29,2023-12-30,64007,2
442,30,30,2022-10-06,72640,4
443,30,30,2023-04-20,68547,4
444,30,30,2023-10-24,17277,3
445,30,30,2023-12-22,95543,3
446,30,30,2023-12-22,768268,1
447,30,30,2023-12-30,14339,2
448,30,30,2023-12-30,569619,1
449,30,30,2023-12-30,31134,2
450,30,30,2023-12-30,69282,2
451,30,30,2023-12-30,490883,1
452,30,30,2023-12-30,17949,3
453,30,30,2023-12-30,48848,3
454,30,30,2023-12-30,68299,2
455,30,30,2023-12-30,14160,2
456,30,30,2023-12-30,34100,2
457,30,30,2023-12-30,26545,3
458,30,30,2023-12-30,92599,3
459,30,30,2023-12-30,16918,4
460,30,30,2023-12-30,58722,1
461,31,31,2022-10-24,79351,2
462,31,31,2023-03-21,82772,3
463,31,31,2023-11-20,48855,3
464,31,31,2023-12-07,92447,2
465,31,31,2023-12-13,57493,3
466,31,31,2023-12-26,36300,3
467,31,31,2023-12-29,28195,2
468,31,31,2023-12-29,83886,4
469,31,31,2023-12-30,49765,4
470,31,31,2023-12-30,71494,1
471,31,31,2023-12-30,59355,3
472,31,31,2023-12-30,18920,3
473,31,31,2023-12-30,1218,3
474,32,32,2023-11-21,88089,2
475,32,32,2023-12-07,78883,3
476,32,32,2023-12-07,50230,4
477,32,32,2023-12-25,56952,4
478,32,32,2023-12-28,257583,1
479,32,32,2023-12-29,704157,1
480,33,33,2023-12-11,532258,1
481,33,33,2023-12-12,97304,2
482,33,33,2023-12-16,26228,3
483,33,33,2023-12-27,256398,1
484,33,33,2023-12-30,47762,3
485,33,33,2023-12-30,83146,2
486,33,33,2023-12-30,75716,3
487,33,33,2023-12-30,11720,3
488,33,33,2023-12-30,51773,3
489,33,33,2023-12-30,10043,4
490,33,33,2023-12-30,499935,1
491,33,33,2023-12-30,10915,2
492,33,33,2023-12-30,37044,4
493,33,33,2023-12-30,423654,1
494,34,34,2023-01-25,17198,2
495,34,34,2023-09-03,44511,3
496,34,34,2023-10-21,77700,2
497,34,34,2023-11-25,86478,4
498,34,34,2023-11-26,74004,4
499,34,34,2023-12-30,133929,1
500,34,34,2023-12-30,51400,1
501,34,34,2023-12-30,38920,4
502,34,34,2023-12-30,53475,1
503,34,34,2023-12-30,33174,3
504,34,34,2023-12-30,47123,2
505,34,34,2023-12-30,14313,2
506,34,34,2023-12-30,5231,4
507,35,35,2023-07-22,61985,4
508,35,35,2023-11-18,107407,1
509,35,35,2023-12-20,26483,3
510,35,35,2023-12-26,30116,2
511,35,35,2023-12-26,29063,4
512,35,35,2023-12-26,40117,4
513,35,35,2023-12-27,24153,1
514,35,35,2023-12-29,19272,4
515,36,36,2023-09-30,98357,3
516,36,36,2023-12-08,32036,2
517,36,36,2023-12-16,69111,3
518,36,36,2023-12-29,23389,4
519,36,36,2023-12-29,84057,3
520,36,36,2023-12-30,98824,2
521,36,36,2023-12-30,459968,1
522,36,36,2023-12-30,68127,3
523,36,36,2023-12-30,84038,4
524,36,36,2023-12-30,99375,2
525,36,36,2023-12-30,46173,4
526,36,36,2023-12-30,17065,2
527,36,36,2023-12-30,92373,2
528,36,36,2023-12-30,51245,1
529,36,36,2023-12-30,96768,2
530,36,36,2023-12-30,62690,3
531,36,36,2023-12-30,38315,1
532,37,37,2023-09-26,33690,3
533,37,37,2023-11-08,40737,3
534,37,37,2023-12-14,244001,1
535,37,37,2023-12-27,44604,2
536,37,37,2023-12-30,896734,1
537,37,37,2023-12-30,48134,4
538,37,37,2023-12-30,10225,2
539,37,37,2023-12-30,67532,4
540,37,37,2023-12-30,78931,4
541,37,37,2023-12-30,25650,2
542,37,37,2023-12-30,83927,4
543,37,37,2023-12-30,87350,2
544,37,37,2023-12-30,37523,4
545,37,37,2023-12-30,76932,2
546,37,37,2023-12-30,12407,2
547,37,37,2023-12-30,76806,2
548,37,37,2023-12-30,90416,4
549,38,38,2023-12-22,43340,3
550,38,38,2023-12-24,1000268,1
551,38,38,2023-12-25,78269,2
552,38,38,2023-12-26,96294,2
553,38,38,2023-12-28,51140,3
554,38,38,2023-12-29,86196,4
555,38,38,2023-12-30,19441,4
556,39,39,2023-07-13,194377,1
557,39,39,2023-10-01,90910,4
558,39,39,2023-11-25,51309,1
559,39,39,2023-12-12,36202,3
560,39,39,2023-12-12,54093,1
561,39,39,2023-12-23,53873,4
562,39,39,2023-12-24,30445,3
563,39,39,2023-12-30,21369,3
564,39,39,2023-12-30,2481,2
565,40,40,2023-02-22,626080,1
566,40,40,2023-08-13,236816,1
567,40,40,2023-12-20,91495,2
568,40,40,2023-12-29,80575,2
569,40,40,2023-12-29,29436,3
570,40,40,2023-12-30,93844,4
571,40,40,2023-12-30,18841,2
572,40,40,2023-12-30,449202,1
573,40,40,2023-12-30,29432,3
574,40,40,2023-12-30,338028,1
575,40,40,2023-12-30,67463,4
576,40,40,2023-12-30,59950,2
577,40,40,2023-12-30,278063,1
578,40,40,2023-12-30,66690,2
579,40,40,2023-12-30,47439,4
580,41,41,2023-05-20,62975,2
581,41,41,2023-06-02,167963,1
582,41,41,2023-10-21,93112,2
583,41,41,2023-10-30,341871,1
584,41,41,2023-11-20,94883,3
585,41,41,2023-12-09,95751,2
586,41,41,2023-12-17,198868,1
587,41,41,2023-12-19,21703,3
588,41,41,2023-12-26,32684,4
589,41,41,2023-12-26,36883,4
590,41,41,2023-12-30,65733,4
591,41,41,2023-12-30,38413,3
592,41,41,2023-12-30,17188,3
593,41,41,2023-12-30,15160,4
594,41,41,2023-12-30,3853,4
595,42,42,2023-11-28,21760,2
596,42,42,2023-12-15,22434,2
597,42,42,2023-12-21,25705,4
598,42,42,2023-12-30,23877,4
599,42,42,2023-12-30,93043,3
600,42,42,2023-12-30,13385,4
601,42,42,2023-12-30,92523,4
602,42,42,2023-12-30,741308,1
603,42,42,2023-12-30,95658,1
604,42,42,2023-12-30,768002,1
605,42,42,2023-12-30,54316,2
606,42,42,2023-12-30,64622,2
607,42,42,2023-12-30,380848,1
608,42,42,2023-12-30,170131,1
609,42,42,2023-12-30,45303,4
610,42,42,2023-12-30,19225,3
611,42,42,2023-12-30,42394,3
612,42,42,2023-12-30,18325,4
613,42,42,2023-12-30,42129,4
614,42,42,2023-12-30,96959,3
615,42,42,2023-12-30,101689,1
616,42,42,2023-12-30,73967,2
617,42,42,2023-12-30,307101,1
618,42,42,2023-12-30,58379,2
619,42,42,2023-12-30,94408,4
620,42,42,2023-12-30,22395,2
621,42,42,2023-12-30,37294,4
622,42,42,2023-12-30,88359,2
623,42,42,2023-12-30,54840,1
624,42,42,2023-12-30,55487,3
625,42,42,2023-12-30,13674,1
626,42,42,2023-12-30,10086,3
627,42,42,2023-12-30,3588,1
628,42,42,2023-12-30,3588,2
629,43,43,2023-12-11,52210,4
630,43,43,2023-12-12,96692,3
631,43,43,2023-12-29,18295,3
632,43,43,2023-12-29,12180,2
633,43,43,2023-12-30,10809,2
634,43,43,2023-12-30,58,1
635,43,43,2023-12-30,58,2
636,44,44,2023-08-17,39225,2
637,44,44,2023-08-23,75957,4
638,44,44,2023-09-26,53384,3
639,44,44,2023-11-19,11467,3
640,44,44,2023-12-19,77729,3
641,44,44,2023-12-27,29549,3
642,44,44,2023-12-28,42724,2
643,45,45,2023-08-24,331312,1
644,45,45,2023-11-19,66483,3
645,45,45,2023-11-23,84367,3
646,45,45,2023-12-24,368890,1
647,45,45,2023-12-27,67910,2
648,45,45,2023-12-29,55909,2
649,45,45,2023-12-29,24842,2
650,45,45,2023-12-29,83668,4
651,45,45,2023-12-30,13833,3
652,45,45,2023-12-30,71626,4
653,45,45,2023-12-30,20519,4
654,45,45,2023-12-30,54463,2
655,45,45,2023-12-30,27664,4
656,45,45,2023-12-30,82356,3
657,45,45,2023-12-30,61952,3
658,45,45,2023-12-30,36636,2
659,45,45,2023-12-30,7063,4
660,46,46,2023-12-02,19864,2
661,46,46,2023-12-14,56371,2
662,46,46,2023-12-15,30137,2
663,46,46,2023-12-29,76236,2
664,46,46,2023-12-29,97703,2
665,46,46,2023-12-29,67424,2
666,46,46,2023-12-29,29853,4
667,46,46,2023-12-30,53178,1
668,46,46,2023-12-30,67832,4
669,46,46,2023-12-30,12194,2
670,46,46,2023-12-30,12204,3
671,46,46,2023-12-30,7150,4
672,47,47,2023-04-23,46371,4
673,47,47,2023-09-20,44142,4
674,47,47,2023-11-25,16440,2
675,47,47,2023-12-19,1570,4
676,48,48,2023-11-03,87811,3
677,48,48,2023-12-14,67146,4
678,48,48,2023-12-29,81749,4
679,48,48,2023-12-29,70167,4
680,48,48,2023-12-29,95170,4
681,48,48,2023-12-30,61439,4
682,49,49,2023-06-06,184533,1
683,49,49,2023-07-19,329831,1
684,49,49,2023-10-02,572775,1
685,49,49,2023-10-28,71149,1
686,49,49,2023-11-20,51386,1
687,49,49,2023-12-06,96219,4
688,49,49,2023-12-06,531232,1
689,49,49,2023-12-22,50902,4
690,49,49,2023-12-28,401263,1
691,49,49,2023-12-28,99512,2
692,49,49,2023-12-30,89639,2
693,49,49,2023-12-30,376034,1
694,49,49,2023-12-30,365412,1
695,49,49,2023-12-30,45557,4
696,49,49,2023-12-30,11806,3
697,49,49,2023-12-30,93833,4
698,49,49,2023-12-30,97734,4
699,49,49,2023-12-30,53185,1
700,49,49,2023-12-30,63886,4
701,49,49,2023-12-30,62593,1
702,49,49,2023-12-30,53665,1
703,49,49,2023-12-30,62688,1
704,49,49,2023-12-30,62764,1
705,49,49,2023-12-30,35770,4
706,49,49,2023-12-30,23636,4
707,49,49,2023-12-30,10666,1
708,49,49,2023-12-30,10647,2
709,49,49,2023-12-30,19,3
710,50,50,2023-10-23,43256,2
711,50,50,2023-12-22,470817,1
712,50,50,2023-12-29,258762,1
713,50,50,2023-12-29,75632,4
714,50,50,2023-12-30,25665,4
715,50,50,2023-12-30,17364,2
716,50,50,2023-12-30,38032,3
717,50,50,2023-12-30,52934,2
718,50,50,2023-12-30,68679,4
719,50,50,2023-12-30,56266,4
720,50,50,2023-12-30,124605,1
721,50,50,2023-12-30,143726,1
722,50,50,2023-12-30,61208,1
723,50,50,2023-12-30,64796,3
724,50,50,2023-12-30,89020,4
725,51,51,2023-12-06,34087,2
726,51,51,2023-12-20,223980,1
727,51,51,2023-12-20,23027,3
728,51,51,2023-12-21,160425,1
729,51,51,2023-12-27,86072,3
730,51,51,2023-12-30,38513,3
731,51,51,2023-12-30,88772,4
732,51,51,2023-12-30,58995,2
733,51,51,2023-12-30,86659,3
734,51,51,2023-12-30,18853,4
735,51,51,2023-12-30,81936,2
736,51,51,2023-12-30,11027,3
737,52,52,2023-09-27,73147,2
738,52,52,2023-10-16,42641,4
739,52,52,2023-11-29,30651,4
740,52,52,2023-12-13,10850,3
741,52,52,2023-12-22,3370,4
742,53,53,2023-11-01,166026,1
743,53,53,2023-12-23,61014,3
744,53,53,2023-12-25,26814,3
745,53,53,2023-12-29,16031,2
746,53,53,2023-12-29,677421,1
747,53,53,2023-12-29,77821,2
748,53,53,2023-12-29,69733,4
749,53,53,2023-12-29,38235,4
750,53,53,2023-12-30,31539,4
751,53,53,2023-12-30,65660,4
752,53,53,2023-12-30,56255,4
753,53,53,2023-12-30,68603,4
754,53,53,2023-12-30,63088,2
755,53,53,2023-12-30,279713,1
756,53,53,2023-12-30,93983,1
757,54,54,2023-09-22,22545,3
758,54,54,2023-11-20,32038,2
759,54,54,2023-12-20,59830,2
760,54,54,2023-12-29,30474,3
761,54,54,2023-12-29,74802,4
762,54,54,2023-12-29,313717,1
763,54,54,2023-12-29,90355,4
764,54,54,2023-12-29,99784,3
765,55,55,2023-11-29,36566,4
766,55,55,2023-12-13,72147,2
767,55,55,2023-12-15,20519,2
768,55,55,2023-12-30,34734,4
769,55,55,2023-12-30,21163,3
770,55,55,2023-12-30,11160,2
771,55,55,2023-12-30,3568,3
772,56,56,2022-08-08,37609,3
